"Version:1. Each line [benchmark_name, operation_name, thread_index, number_of_threads, number_of_trials] then [iters, successful_iters, duration_in_ns] repeating number_of_trials times."
"distributed 32 faa tid hash", , 1, 9, 10, 230001, 230001, 14296800, 222001, 222001, 14300100, 222001, 222001, 14337500, 223001, 223001, 14322900, 223001, 223001, 14307600, 223001, 223001, 14292700, 226001, 226001, 14303600, 230001, 230001, 14326300, 235001, 235001, 14337200, 235001, 235001, 14291200
"distributed 32 faa tid hash", , 2, 9, 10, 474001, 474001, 14286200, 481001, 481001, 14293200, 689001, 689001, 14295700, 474001, 474001, 14307800, 471001, 471001, 14299100, 687001, 687001, 14291800, 472001, 472001, 14293600, 608001, 608001, 14296100, 726001, 726001, 14298600, 479001, 479001, 14309300
"distributed 32 faa tid hash", , 3, 9, 10, 587001, 587001, 14291700, 480001, 480001, 14297500, 466001, 466001, 14289400, 469001, 469001, 14298800, 470001, 470001, 14303900, 464001, 464001, 14293300, 470001, 470001, 14308100, 471001, 471001, 14286200, 471001, 471001, 14299400, 473001, 473001, 14304200
"distributed 32 faa tid hash", , 0, 11, 10, 482001, 482001, 14308600, 252001, 252001, 14320400, 252001, 252001, 14293900, 457001, 457001, 14301000, 407001, 407001, 14301000, 589001, 589001, 14333500, 371001, 371001, 14315900, 460001, 460001, 14288200, 468001, 468001, 14290000, 428001, 428001, 14313800
"distributed 32 faa tid hash", , 1, 11, 10, 219001, 219001, 14305800, 219001, 219001, 14324900, 218001, 218001, 14326700, 236001, 236001, 14304700, 185001, 185001, 14296700, 194001, 194001, 14307400, 219001, 219001, 14341100, 299001, 299001, 14341400, 201001, 201001, 14317300, 243001, 243001, 14319400
"distributed 32 faa tid hash", , 2, 11, 10, 471001, 471001, 14314400, 544001, 544001, 14333000, 471001, 471001, 14293800, 532001, 532001, 14300800, 454001, 454001, 14294800, 468001, 468001, 14307300, 467001, 467001, 14303600, 461001, 461001, 14290700, 456001, 456001, 14312700, 327001, 327001, 14295400
"distributed 32 faa tid hash", , 3, 11, 10, 228001, 228001, 14316000, 227001, 227001, 14320900, 217001, 217001, 14297500, 279001, 279001, 14309100, 183001, 183001, 14289400, 192001, 192001, 14325100, 244001, 244001, 14323200, 224001, 224001, 14321700, 227001, 227001, 14328900, 218001, 218001, 14322500
"distributed 32 faa tid hash", , 4, 11, 10, 471001, 471001, 14300400, 539001, 539001, 14290200, 466001, 466001, 14302700, 449001, 449001, 14299300, 471001, 471001, 14293500, 472001, 472001, 14296100, 400001, 400001, 14318200, 437001, 437001, 14300100, 362001, 362001, 14310800, 394001, 394001, 14311100
"distributed 32 faa tid hash", , 0, 12, 10, 433001, 433001, 14306800, 475001, 475001, 14286600, 454001, 454001, 14285600, 128001, 128001, 31721600, 457001, 457001, 14286500, 473001, 473001, 14291800, 475001, 475001, 14301900, 468001, 468001, 14313800, 464001, 464001, 14302300, 470001, 470001, 14290800
"distributed 32 faa tid hash", , 1, 12, 10, 468001, 468001, 14288200, 435001, 435001, 14307700, 459001, 459001, 14295800, 1001, 1001, 46592500, 377001, 377001, 14213200, 217001, 217001, 14307000, 462001, 462001, 14308100, 291001, 291001, 14311800, 262001, 262001, 14312400, 318001, 318001, 14303100
"distributed 32 faa tid hash", , 2, 12, 10, 454001, 454001, 14323400, 443001, 443001, 14297400, 462001, 462001, 14297400, 115001, 115001, 37716100, 335001, 335001, 10780300, 466001, 466001, 14297000, 468001, 468001, 14292900, 455001, 455001, 14286300, 470001, 470001, 14305600, 473001, 473001, 14310600
"distributed 32 faa tid hash", , 3, 12, 10, 444001, 444001, 14289400, 474001, 474001, 14303100, 469001, 469001, 14305400, 124001, 124001, 19879000, 463001, 463001, 14304200, 472001, 472001, 14312400, 458001, 458001, 14300300, 451001, 451001, 14292000, 448001, 448001, 14302400, 466001, 466001, 14299800
"distributed 32 faa tid hash", , 4, 12, 10, 462001, 462001, 14288800, 457001, 457001, 14290100, 476001, 476001, 14298400, 98001, 98001, 17475800, 429001, 429001, 13045900, 468001, 468001, 14308400, 421001, 421001, 14294400, 410001, 410001, 14308400, 395001, 395001, 14304300, 464001, 464001, 14293400
